,,Image name,version,,,,,,,,,,,
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/base/minio/minio-pod.yaml,      image, minio/minio,RELEASE.2019-12-17T23-16-33Z,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,base,minio,minio-pod.yaml
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/base/minio/minio-deploy.yaml,          image, minio/minio,RELEASE.2019-12-17T23-16-33Z,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,base,minio,minio-deploy.yaml
./apps/pipeline/upstream/third-party/argo/upstream/manifests/quick-start/base/prometheus/prometheus-deployment.yaml,          image, prom/prometheus,,apps,pipeline,upstream,third-party,argo,upstream,manifests,quick-start,base,prometheus,prometheus-deployment.yaml
./apps/pipeline/upstream/third-party/argo/upstream/manifests/base/workflow-controller/workflow-controller-deployment.yaml,          image, docker.io/argoproj/workflow-controller,latest,apps,pipeline,upstream,third-party,argo,upstream,manifests,base,workflow-controller,workflow-controller-deployment.yaml,
./apps/pipeline/upstream/third-party/argo/upstream/manifests/base/argo-server/argo-server-deployment.yaml,          image, docker.io/argoproj/argocli,latest,apps,pipeline,upstream,third-party,argo,upstream,manifests,base,argo-server,argo-server-deployment.yaml,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-scheduledworkflow-deployment.yaml,      - image, gcr.io/ml-pipeline/scheduledworkflow,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-scheduledworkflow-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-apiserver-deployment.yaml,        image, gcr.io/ml-pipeline/api-server,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-apiserver-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-persistenceagent-deployment.yaml,        image, gcr.io/ml-pipeline/persistenceagent,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-persistenceagent-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-visualization-deployment.yaml,      - image, gcr.io/ml-pipeline/visualization-server,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-visualization-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-viewer-crd-deployment.yaml,      - image, gcr.io/ml-pipeline/viewer-crd-controller,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-viewer-crd-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/ml-pipeline-ui-deployment.yaml,      - image, gcr.io/ml-pipeline/frontend,dummy,apps,pipeline,upstream,base,pipeline,ml-pipeline-ui-deployment.yaml,,,,,
./apps/pipeline/upstream/base/pipeline/metadata-writer/metadata-writer-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_metadata-writer,dummy,apps,pipeline,upstream,base,pipeline,metadata-writer,metadata-writer-deployment.yaml,,,,
./apps/pipeline/upstream/base/cache/cache-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/cache-server,dummy,apps,pipeline,upstream,base,cache,cache-deployment.yaml,,,,,
./apps/pipeline/upstream/base/installs/multi-user/pipelines-profile-controller/sync.py,        visualization_server_image, gcr.io/ml-pipeline/visualization-server,,apps,pipeline,upstream,base,installs,multi-user,pipelines-profile-controller,sync.py,,,
./apps/pipeline/upstream/base/installs/multi-user/pipelines-profile-controller/sync.py,        frontend_image, gcr.io/ml-pipeline/frontend,,apps,pipeline,upstream,base,installs,multi-user,pipelines-profile-controller,sync.py,,,
./apps/pipeline/upstream/base/installs/multi-user/pipelines-profile-controller/deployment.yaml,        image, python,3.7,apps,pipeline,upstream,base,installs,multi-user,pipelines-profile-controller,deployment.yaml,,,
./apps/pipeline/upstream/base/cache-deployer/cache-deployer-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/cache-deployer,dummy,apps,pipeline,upstream,base,cache-deployer,cache-deployer-deployment.yaml,,,,,
./apps/pipeline/upstream/base/metadata/overlays/db/metadata-db-deployment.yaml,        image, mysql,8.0.3,apps,pipeline,upstream,base,metadata,overlays,db,metadata-db-deployment.yaml,,,
./apps/pipeline/upstream/base/metadata/base/metadata-envoy-deployment.yaml,        image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_metadata-envoy,dummy,apps,pipeline,upstream,base,metadata,base,metadata-envoy-deployment.yaml,,,,
./apps/pipeline/upstream/base/metadata/base/metadata-grpc-deployment.yaml,        image, gcr.io/tfx-oss-public/ml_metadata_store_server,1.0.0,apps,pipeline,upstream,base,metadata,base,metadata-grpc-deployment.yaml,,,,
./apps/mpi-job/upstream/base/deployment.yaml,        image, mpioperator/mpi-operator,latest,apps,mpi-job,upstream,base,deployment.yaml,,,,,,
./apps/kfp-tekton/upstream/env/azure/minio-azure-gateway/minio-azure-gateway-deployment.yaml,          image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,kfp-tekton,upstream,env,azure,minio-azure-gateway,minio-azure-gateway-deployment.yaml,,,,
./apps/kfp-tekton/upstream/env/gcp/cloudsql-proxy/cloudsql-proxy-deployment.yaml,        - image, gcr.io/cloudsql-docker/gce-proxy,1.14,apps,kfp-tekton,upstream,env,gcp,cloudsql-proxy,cloudsql-proxy-deployment.yaml,,,,
./apps/kfp-tekton/upstream/env/gcp/inverse-proxy/proxy-deployment.yaml,      - image, registry.cn-beijing.aliyuncs.com/kubeflow1_4/ml-pipeline_inverse-proxy-agent,dummy,apps,kfp-tekton,upstream,env,gcp,inverse-proxy,proxy-deployment.yaml,,,,
./apps/kfp-tekton/upstream/env/gcp/minio-gcs-gateway/minio-gcs-gateway-deployment.yaml,          image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,kfp-tekton,upstream,env,gcp,minio-gcs-gateway,minio-gcs-gateway-deployment.yaml,,,,
./apps/kfp-tekton/upstream/third-party/tekton-custom-task/pipeline-loops/500-webhook.yaml,        image, docker.io/aipipeline/pipelineloop-webhook,nightly,apps,kfp-tekton,upstream,third-party,tekton-custom-task,pipeline-loops,500-webhook.yaml,,,,
./apps/kfp-tekton/upstream/third-party/tekton-custom-task/pipeline-loops/500-controller.yaml,        image, docker.io/aipipeline/pipelineloop-controller,nightly,apps,kfp-tekton,upstream,third-party,tekton-custom-task,pipeline-loops,500-controller.yaml,,,,
./apps/kfp-tekton/upstream/third-party/grafana/grafana-deployment.yaml,        image, grafana/grafana,5.3.4,apps,kfp-tekton,upstream,third-party,grafana,grafana-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/third-party/minio/base/minio-deployment.yaml,        image, gcr.io/ml-pipeline/minio,RELEASE.2019-08-14T20-37-41Z-license-compliance,apps,kfp-tekton,upstream,third-party,minio,base,minio-deployment.yaml,,,,
./apps/kfp-tekton/upstream/third-party/mysql/base/mysql-deployment.yaml,        image, gcr.io/ml-pipeline/mysql,5.7,apps,kfp-tekton,upstream,third-party,mysql,base,mysql-deployment.yaml,,,,
./apps/kfp-tekton/upstream/third-party/tekton/upstream/manifests/base/tektoncd-install/tekton-release.yaml,          image, gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/controller,v0.27.0,apps,kfp-tekton,upstream,third-party,tekton,upstream,manifests,base,tektoncd-install,tekton-release.yaml,
./apps/kfp-tekton/upstream/third-party/tekton/upstream/manifests/base/tektoncd-install/tekton-release.yaml,          image, gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/webhook,v0.27.0,apps,kfp-tekton,upstream,third-party,tekton,upstream,manifests,base,tektoncd-install,tekton-release.yaml,
./apps/kfp-tekton/upstream/third-party/tekton/upstream/manifests/base/tektoncd-dashboard/tekton-dashboard-release.yaml,          image, gcr.io/tekton-releases/github.com/tektoncd/dashboard/cmd/dashboard@sha256,81c6e5343eba03333b3bc7bbee2977090daf559d550ae22e570b9d1e1e52c471,apps,kfp-tekton,upstream,third-party,tekton,upstream,manifests,base,tektoncd-dashboard,tekton-dashboard-release.yaml,
./apps/kfp-tekton/upstream/third-party/metacontroller/base/stateful-set.yaml,        image, metacontroller/metacontroller,v0.3.0,apps,kfp-tekton,upstream,third-party,metacontroller,base,stateful-set.yaml,,,,
./apps/kfp-tekton/upstream/third-party/prometheus/prometheus-deployment.yaml,        image, prom/prometheus,,apps,kfp-tekton,upstream,third-party,prometheus,prometheus-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/third-party/application/application-controller-deployment.yaml,          image, gcr.io/ml-pipeline/application-crd-controller,1.0-beta-non-cluster-role,apps,kfp-tekton,upstream,third-party,application,application-controller-deployment.yaml,,,,,
./apps/kfp-tekton/upstream/third-party/argo/base/workflow-controller-deployment-patch.yaml,          image, gcr.io/ml-pipeline/workflow-controller,v3.1.6-patch-license-compliance,apps,kfp-tekton,upstream,third-party,argo,base,workflow-controller-deployment-patch.yaml,,,,
./apps/kfp-tekton/upstream/third-party/argo/upstream/manifests/quick-start/postgres/postgres-deployment.yaml,          image, postgres,12-alpine,apps,kfp-tekton,upstream,third-party,argo,upstream,manifests,quick-start,postgres,postgres-deployment.yaml,
