Dockerfile_kubebuilder_kube-rbac-proxy_v0.4.0,v0.4.0,kubebuilder_kube-rbac-proxy,/apps/tensorboard/tensorboard-controller/upstream/default/manager_auth_proxy_patch.yaml,gcr.io/kubebuilder/kube-rbac-proxy:v0.4.0
Dockerfile_kubebuilder_kube-rbac-proxy_v0.4.0,v0.4.0,kubebuilder_kube-rbac-proxy,/apps/profiles/upstream/default/manager_auth_proxy_patch.yaml,gcr.io/kubebuilder/kube-rbac-proxy:v0.4.0
Dockerfile_kubeflow-images.csv-public_kubebench_kubebench-op,latest,kubeflow-images.csv-public_kubebench_kubebench-operator-v1al,/apps/kubebench/upstream/base/deployment.yaml,gcr.io/kubeflow-images.csv-public/kubebench/kubebench-operator-v1alpha2
Dockerfile_kubeflow-images-public_kubebench_workflow-agent_b,bc682c1,kubeflow-images-public_kubebench_workflow-agent,/apps/kubebench/upstream/base/config-map.yaml,gcr.io/kubeflow-images-public/kubebench/workflow-agent:bc682c1
Dockerfile_kubebuilder_kube-rbac-proxy_v0.4.0,v0.4.0,kubebuilder_kube-rbac-proxy,/apps/jupyter/notebook-controller/upstream/default/manager_auth_proxy_patch.yaml,gcr.io/kubebuilder/kube-rbac-proxy:v0.4.0
Dockerfile_knative-releases_knative.dev_net-istio_cmd_contro,ff8680da52ef47b8573ebc3393cbfa2f0f14b05c1e02232807f22699adbef57a,knative-releases_knative.dev_net-istio_cmd_controller@sha256,/common/knative/knative-serving/base/upstream/net-istio.yaml,gcr.io/knative-releases/knative.dev/net-istio/cmd/controller@sha256:ff8680da52ef47b8573ebc3393cbfa2f0f14b05c1e02232807f22699adbef57a
Dockerfile_knative-releases_knative.dev_serving_cmd_queue@sh,0b8e031170354950f3395876961452af1c62f7ab5161c9e71867392c11881962,knative-releases_knative.dev_serving_cmd_queue@sha256,/common/knative/knative-serving/base/upstream/serving-core.yaml,gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:0b8e031170354950f3395876961452af1c62f7ab5161c9e71867392c11881962
Dockerfile_knative-releases_knative.dev_eventing_cmd_v0.22_p,837b8d5cfe38afa297d25e7aed30ec8df80f721a084d4fdcc614d65afde4c528,knative-releases_knative.dev_eventing_cmd_v0.22_pingsource-c,/common/knative/knative-eventing-post-install-jobs/base/eventing-post-install-jobs.yaml,gcr.io/knative-releases/knative.dev/eventing/cmd/v0.22/pingsource-cleanup@sha256:837b8d5cfe38afa297d25e7aed30ec8df80f721a084d4fdcc614d65afde4c528
Dockerfile_knative-releases_knative.dev_eventing_cmd_broker_,0e25aa1613a3a1779b3f7b7f863e651e5f37520a7f6808ccad2164cc2b6a9b12,knative-releases_knative.dev_eventing_cmd_broker_filter@sha2,/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,gcr.io/knative-releases/knative.dev/eventing/cmd/broker/filter@sha256:0e25aa1613a3a1779b3f7b7f863e651e5f37520a7f6808ccad2164cc2b6a9b12
Dockerfile_knative-releases_knative.dev_eventing_cmd_control,6ddffbc286a84048cfd090193d00b4ecda25a3a7bf2de1a8e873f8b3755cc913,knative-releases_knative.dev_eventing_cmd_controller@sha256,/common/knative/knative-eventing/base/upstream/eventing-core.yaml,gcr.io/knative-releases/knative.dev/eventing/cmd/controller@sha256:6ddffbc286a84048cfd090193d00b4ecda25a3a7bf2de1a8e873f8b3755cc913
Dockerfile_knative-releases_knative.dev_eventing_cmd_in_memo,904f42a768a9bc64999e7302d2bc7c1c48a08e74a82355cf57be513e6a124b82,knative-releases_knative.dev_eventing_cmd_in_memory_channel_,/common/knative/knative-eventing/base/upstream/in-memory-channel.yaml,gcr.io/knative-releases/knative.dev/eventing/cmd/in_memory/channel_controller@sha256:904f42a768a9bc64999e7302d2bc7c1c48a08e74a82355cf57be513e6a124b82
Dockerfile_knative-releases_knative.dev_serving_vendor_knati,dce9002c02d7abda2f7d4b656c28029ec172d085bb116f22936cb1e096c3d1c7,knative-releases_knative.dev_serving_vendor_knative.dev_pkg_,/common/knative/knative-serving-post-install-jobs/base/serving-post-install-jobs.yaml,gcr.io/knative-releases/knative.dev/serving/vendor/knative.dev/pkg/apiextensions/storageversion/cmd/migrate@sha256:dce9002c02d7abda2f7d4b656c28029ec172d085bb116f22936cb1e096c3d1c7
Dockerfile_arrikto_kubeflow_oidc-authservice_6ac9400,6ac9400,arrikto_kubeflow_oidc-authservice,/common/oidc-authservice/base/statefulset.yaml,gcr.io/arrikto/kubeflow/oidc-authservice:6ac9400
